County,FACILITY NAME,COUNTY,FACILITY ID,AVAILABLE BEDS,AVAILABLE BEDS CAPABLE OF ISOLATION,NEW CONFIRMED POSITIVE RESIDENTS ,CURRENT ACTIVE CASES RESIDENTS ,CUMULATIVE POSITIVE RESIDENTS ,COVID-RELATED RESIDENT DEATHS,NEW CONFIRMED POSITIVE HCW   ,CURRENT ACTIVE HCW,CUMULATIVE POSITIVE HCW ,COVID-RELATED HCW DEATHS 
Alameda,ALAMEDA COUNTY MEDICAL CENTER D/P SNF,ALAMEDA,140000321,7,4,0,0,86,0,0,<11,76,0
Alameda,ALAMEDA HEALTHCARE & WELLNESS CENTER,ALAMEDA,20000043,54,8,0,0,88,<11,0,0,55,0
Alameda,ALAMEDA HOSPITAL - SOUTHSHORE CONVALESCENT,ALAMEDA,630011864,1,1,0,0,<11,0,0,0,<11,0
Alameda,ALAMEDA HOSPITAL D/P SNF,ALAMEDA,140000686,3,1,0,0,<11,0,0,0,13,0
Alameda,ALL SAINT'S MAUBERT,ALAMEDA,630013891,2,0,0,0,0,0,0,0,<11,0
Alameda,ALL SAINTS SUBACUTE & TRANSITIONAL CARE,ALAMEDA,20000070,10,0,0,0,<11,0,0,0,<11,0
Alameda,ASHBY CARE CENTER,ALAMEDA,20000010,7,6,0,0,<11,0,0,0,<11,0
Alameda,AVONDALE VILLA POST-ACUTE,ALAMEDA,140001291,6,6,0,0,22,<11,0,0,21,0
Alameda,BANCROFT HEALTHCARE CENTER,ALAMEDA,20000015,7,1,0,0,<11,0,0,0,<11,0
Alameda,BAY AREA HEALTHCARE CENTER,ALAMEDA,20000135,34,0,0,0,15,<11,0,0,38,0
Alameda,"BAY VIEW REHABILITATION HOSPITAL, LLC",ALAMEDA,20000026,23,8,0,0,167,<11,0,0,84,0
Alameda,BAYPOINT HEALTHCARE CENTER,ALAMEDA,20000060,55,0,0,0,20,<11,0,0,28,0
Alameda,BAYWOOD COURT HEALTH CENTER,ALAMEDA,630011713,17,2,0,0,<11,0,0,0,12,0
Alameda,BELLAKEN SKILLED NURSING CENTER,ALAMEDA,20001250,0,1,0,0,15,0,0,0,<11,0
Alameda,BERKELEY PINES SKILLED NURSING CENTER,ALAMEDA,20000028,2,1,0,0,20,<11,0,0,13,0
Alameda,BETHESDA HOME,ALAMEDA,20000029,0,4,0,0,29,<11,0,0,26,0
Alameda,CHAPARRAL HOUSE,ALAMEDA,20000048,6,0,0,0,<11,0,0,0,17,0
Alameda,CREEKVIEW SKILLED NURSING,ALAMEDA,630015174,34,6,0,0,20,<11,0,<11,74,0
Alameda,CRESTWOOD MANOR - FREMONT,ALAMEDA,20000053,18,0,0,0,104,<11,0,<11,82,<11
Alameda,CRESTWOOD TREATMENT CENTER,ALAMEDA,20000129,34,0,0,0,50,0,0,<11,62,0
Alameda,CROWN BAY NURSING & REHABILITATION CENTER,ALAMEDA,20000087,45,8,0,0,11,20,0,0,11,0
Alameda,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,ALAMEDA,20000133,11,4,0,0,38,<11,0,<11,57,0
Alameda,EAST BAY POST-ACUTE,ALAMEDA,20000116,25,10,0,0,44,<11,0,0,49,0
Alameda,ELMWOOD CARE CENTER,ALAMEDA,20000128,8,4,0,0,88,<11,0,<11,42,0
Alameda,EXCELL HEALTH CARE CENTER,ALAMEDA,20000093,4,1,0,0,98,<11,0,<11,59,0
Alameda,FREMONT HEALTHCARE CENTER,ALAMEDA,20000132,24,4,0,0,120,<11,0,<11,49,0
Alameda,FRUITVALE HEALTHCARE CENTER,ALAMEDA,20000124,16,0,0,0,129,13,0,0,83,0
Alameda,GARFIELD NEUROBEHAVIORAL CENTER,ALAMEDA,20000125,41,5,0,0,58,<11,0,0,66,0
