Creditworthy,Acc1,Acc2,Duration,Amount,IntUse
0,1,0,24,1.51189,1
0,0,0,12,0.7280797,1
0,0,1,18,1.04866,1
0,0,1,12,2.39029,1
0,0,1,24,1.522627,0
0,0,1,24,1.330893,1
0,0,1,36,2.395914,1
0,0,1,24,1.449512,1
0,1,0,21,0.8190896,0
0,0,1,10,1.456159,1
0,0,0,24,1.480701,1
0,0,0,10,0.6887102,1
0,0,0,6,0.476524,1
0,0,0,10,0.777675,1
0,1,0,30,4.127148,0
0,0,0,36,2.965493,1
0,0,1,12,1.573245,1
0,0,0,12,0.592076,1
0,1,0,12,0.6590552,1
0,0,0,8,0.7229667,1
0,0,1,15,1.548703,1
0,0,1,15,1.824289,1
0,0,1,21,1.422414,0
0,0,0,30,1.542568,1
0,0,1,36,1.574268,0
0,0,1,9,1.828891,0
0,0,1,27,4.403757,1
0,0,0,36,3.552456,1
0,0,1,12,0.3159784,1
0,1,0,11,1.996595,0
0,0,0,8,0.3885818,1
0,1,0,21,1.923991,0
0,1,0,8,0.5951438,0
0,0,0,12,1.148873,0
0,0,1,21,0.8037509,0
0,0,1,24,1.369751,1
0,0,0,24,1.4444,0
0,0,0,48,3.876615,0
0,0,1,10,0.7904572,0
0,1,0,12,1.866727,0
0,0,1,24,1.214318,0
0,0,0,30,2.158163,0
0,0,1,12,1.090586,0
0,0,1,6,3.456845,0
0,0,0,10,0.5358339,1
0,0,1,10,0.8165331,0
0,1,0,30,2.343251,1
0,0,1,12,0.3487011,0
0,0,1,33,1.413211,0
0,0,0,18,2.269625,0
0,0,1,15,1.709249,1
0,1,0,10,0.5307209,0
0,0,1,6,0.127823,0
0,0,1,12,1.803326,0
0,0,0,18,1.979722,1
0,0,1,15,0.4908402,1
0,0,1,24,1.931149,1
0,0,1,15,0.7832991,1
0,0,1,6,0.4003415,0
0,0,1,36,1.17546,1
0,0,0,6,0.5368565,1
0,0,0,9,0.7919911,0
0,0,0,18,3.770266,1
0,1,0,9,0.5818502,1
0,0,1,24,1.152963,0
0,1,0,6,0.702515,1
0,0,0,6,0.1881554,1
0,1,0,20,2.184239,1
0,0,1,48,3.123993,1
0,0,1,12,1.822756,1
0,0,1,12,2.966004,1
0,0,1,10,0.7250119,0
0,0,1,9,0.7096732,1
0,0,1,6,0.8896479,1
0,0,1,27,2.616281,0
0,0,0,18,1.642781,1
0,0,0,21,1.494506,0
0,0,1,30,1.573245,1
0,1,0,36,2.746149,1
0,0,1,36,5.356805,1
0,0,0,20,3.307036,1
0,1,0,6,0.9571384,1
0,0,1,24,2.066642,1
0,1,0,18,0.9612287,1
0,0,0,42,3.215515,0
0,0,1,21,1.615682,1
0,0,1,24,2.116237,0
0,0,1,24,1.626419,1
0,0,1,6,0.3579043,1
0,1,0,12,1.31811,1
0,0,1,24,1.239372,1
0,0,1,12,1.250109,1
0,0,0,21,1.403496,1
0,1,0,36,1.661187,0
0,0,1,36,4.629748,1
0,1,0,11,2.013979,0
0,1,0,6,0.3384752,0
0,0,0,18,1.558929,1
0,0,1,36,2.919988,1
0,0,0,36,3.799921,0
0,0,0,12,1.023606,0
0,0,1,12,1.221988,0
0,0,1,12,0.3614834,1
0,0,1,48,4.529023,1
0,1,0,12,0.9499803,1
0,0,1,5,1.762934,0
0,0,0,12,0.3195574,1
0,1,0,6,2.411252,0
0,0,1,24,0.9919063,0
0,0,0,24,1.916833,1
0,0,1,33,3.7084,1
0,1,0,6,1.35339,1
0,1,0,24,1.269538,1
0,1,0,15,0.7173425,0
0,1,0,18,0.9898611,1
0,1,0,27,1.746573,1
0,0,1,21,1.674481,1
0,0,1,24,2.392335,1
0,0,1,15,1.135579,1
0,0,1,24,1.167791,1
0,1,0,9,1.431106,0
0,1,0,12,0.3584156,1
0,0,1,12,0.9888385,1
0,1,0,24,3.358165,0
0,0,1,6,1.077803,1
0,0,1,24,1.920924,0
0,0,0,18,0.6334906,1
0,0,1,24,0.7510878,0
0,1,0,12,0.1733279,1
0,0,0,12,1.542568,1
0,1,0,15,0.9433335,1
0,0,0,12,1.826846,1
0,0,0,6,1.054795,1
0,0,0,21,1.867238,0
0,1,0,20,1.130978,1
0,0,0,11,0.8063073,1
0,1,0,18,1.794123,1
0,0,1,24,1.365149,1
0,0,1,36,0.4647643,0
0,1,0,12,0.9678755,0
0,0,1,24,1.0369,1
0,0,1,12,0.6600778,1
0,0,1,24,0.7536442,0
0,0,0,15,1.345209,1
0,0,0,24,1.005711,1
0,0,0,12,1.0369,1
0,0,0,18,1.534387,1
0,1,0,6,0.1728166,1
0,0,1,12,1.110015,1
0,0,1,12,1.003666,1
0,1,0,24,0.8196009,1
