nitrate,yield
9.59,4713.00
7.51,1049.45
8.00,1537.89
13.93,5116.24
29.10,8835.98
32.91,9849.72
52.68,9588.95
64.24,9474.68
23.41,6650.39
20.09,7783.35
38.36,9485.95
47.40,9138.61
68.23,8079.86
24.58,2843.44
18.56,6237.16
26.32,7961.70
30.98,8691.12
26.40,8906.83
9.54,5813.82
9.28,6870.88
15.23,7601.00
15.51,9143.52
15.28,8387.14
21.55,9008.01
7.71,7151.84
7.86,8479.76
13.75,8856.99
14.63,10093.04
12.31,7215.64
8.34,7091.54
11.44,7669.97
13.36,8215.85
9.69,8414.36
7.84,5135.41
12.91,8091.74
21.61,9054.56
31.93,7719.27
69.35,7924.53
19.33,5365.33
26.81,7857.37
38.04,8798.13
45.35,9061.69
47.68,10115.58
19.10,6444.04
23.05,7798.07
39.45,8141.93
40.40,9087.43
32.06,7626.33
9.60,1790.42
26.26,3163.24
10.38,2619.28
15.93,5711.14
25.15,7403.34
33.58,8774.34
55.19,10180.49
52.78,7601.00
22.80,6132.25
33.36,8713.17
45.03,9033.51
71.28,9615.18
42.24,9339.20
20.23,6221.56
30.99,7442.01
36.10,8639.03
22.38,8128.49
34.89,10070.22
7.63,4869.86
10.44,6700.87
12.99,7540.40
17.95,8573.70
18.90,8543.51
11.85,8000.77
9.34,8164.30
11.95,10649.55
12.70,8135.40
27.11,9917.74
12.64,8447.88
13.43,6492.42
10.58,8551.73
26.06,8476.13
19.64,7798.04
16.10,7119.95
40.26,5098.38
45.08,10185.14
51.23,7424.15
61.80,10820.73
24.28,4462.36
22.56,10694.92
36.56,9500.77
47.60,8878.73
104.53,9035.41
45.53,5841.15
29.06,9584.04
39.44,8015.92
78.90,8596.33
42.21,10693.45
8.88,2574.33
10.85,2689.08
13.41,3528.11
13.70,5966.86
