"","R.D.Spend","Administration","Marketing.Spend","State","Profit"
"1",165349.2,136897.8,471784.1,"New York",192261.83
"2",162597.7,151377.59,443898.53,"California",191792.06
"3",153441.51,101145.55,407934.54,"Florida",191050.39
"4",144372.41,118671.85,383199.62,"New York",182901.99
"5",142107.34,91391.77,366168.42,"Florida",166187.94
"6",131876.9,99814.71,362861.36,"New York",156991.12
"7",134615.46,147198.87,127716.82,"California",156122.51
"8",130298.13,145530.06,323876.68,"Florida",155752.6
"9",120542.52,148718.95,311613.29,"New York",152211.77
"10",123334.88,108679.17,304981.62,"California",149759.96
"11",101913.08,110594.11,229160.95,"Florida",146121.95
