Price,Age,Mileage,MPG,KBB Price,CR Reliability Score
11858.00,6.00,69.70,34.00,10600.00,0.80
3092.00,17.00,166.70,21.00,2400.00,0.67
14300.00,4.00,42.30,35.00,11100.00,0.75
10942.00,6.00,84.40,28.00,8500.00,0.92
12968.00,5.00,56.60,27.00,10000.00,0.56
2369.00,22.00,168.20,34.00,1800.00,0.59
5805.00,12.00,142.10,17.00,3700.00,0.62
16480.00,2.00,27.50,22.00,12800.00,0.73
9464.00,8.00,107.70,36.00,7300.00,0.85
5711.00,12.00,142.10,27.00,4400.00,0.50
5637.00,13.00,142.60,22.00,4400.00,0.48
1798.00,25.00,179.90,32.00,1400.00,0.60
10333.00,7.00,85.40,39.00,8000.00,0.88
12768.00,5.00,70.40,39.00,9900.00,0.51
8986.00,8.00,105.00,36.00,7000.00,0.64
4131.00,17.00,151.70,36.00,3200.00,0.91
12015.00,5.00,70.30,20.00,9300.00,0.86
6706.00,11.00,116.90,19.00,4200.00,0.56
1999.00,20.00,167.10,25.00,900.00,0.66
2138.00,23.00,168.50,30.00,1700.00,0.83
7696.00,9.00,110.60,21.00,6000.00,0.86
2429.00,22.00,167.00,27.00,1900.00,0.71
7049.00,11.00,120.60,24.00,5500.00,0.93
3858.00,14.00,157.80,32.00,3000.00,0.84
3810.00,17.00,154.40,23.00,3000.00,0.95
1716.00,24.00,181.10,35.00,1300.00,0.48
9731.00,7.00,97.10,27.00,7500.00,0.75
8349.00,10.00,108.50,38.00,6500.00,0.51
2310.00,20.00,160.50,20.00,1800.00,0.84
2603.00,19.00,169.70,38.00,1200.00,0.50
3292.00,17.00,161.10,24.00,2100.00,0.78
16591.00,2.00,20.30,35.00,14800.00,0.86
2013.00,20.00,173.30,20.00,1600.00,0.63
2110.00,20.00,169.50,37.00,1600.00,0.56
2023.00,22.00,171.10,34.00,1300.00,0.73
10556.00,7.00,85.80,31.00,8200.00,0.45
13007.00,5.00,61.00,31.00,10100.00,0.76
6413.00,11.00,124.30,35.00,5000.00,0.58
17093.00,1.00,17.30,36.00,13200.00,0.72
13384.00,4.00,49.90,24.00,10400.00,0.59
4387.00,14.00,143.40,37.00,3400.00,0.57
9125.00,8.00,107.90,19.00,7100.00,0.93
5729.00,13.00,134.90,20.00,4400.00,0.82
15371.00,2.00,34.90,18.00,11900.00,0.80
1990.00,23.00,173.20,18.00,1500.00,0.90
2034.00,22.00,164.90,34.00,1600.00,0.47
3379.00,17.00,162.10,24.00,2600.00,0.48
15388.00,3.00,26.20,38.00,11900.00,0.72
3734.00,15.00,161.30,27.00,2900.00,0.89
3343.00,16.00,160.20,26.00,2600.00,0.48
15020.00,3.00,31.80,34.00,11600.00,0.69
1852.00,25.00,177.00,30.00,1400.00,0.69
18982.00,1.00,7.90,22.00,14700.00,0.75
2132.00,24.00,168.10,30.00,1700.00,0.88
3124.00,18.00,166.70,36.00,2400.00,0.54
15559.00,3.00,32.30,21.00,12100.00,0.68
3779.00,17.00,156.10,31.00,2900.00,0.78
8724.00,8.00,107.70,24.00,6800.00,0.75
3981.00,15.00,149.80,31.00,3100.00,0.56
7263.00,10.00,120.90,39.00,5600.00,0.78
1963.00,25.00,181.80,31.00,1500.00,0.62
3883.00,17.00,157.60,19.00,3000.00,0.74
18058.00,1.00,14.70,22.00,16200.00,0.67
11457.00,6.00,81.10,36.00,8900.00,0.76
10981.00,6.00,72.90,37.00,8500.00,0.55
4158.00,16.00,146.50,26.00,3200.00,0.88
18186.00,1.00,18.90,36.00,14100.00,0.78
1926.00,23.00,177.10,37.00,1200.00,0.67
17480.00,2.00,17.60,39.00,15600.00,0.54
3235.00,17.00,169.50,38.00,2500.00,0.55
7984.00,10.00,108.40,20.00,7100.00,0.73
16692.00,1.00,23.30,38.00,14900.00,0.90
3254.00,18.00,162.20,35.00,2500.00,0.85
3709.00,14.00,160.00,25.00,2900.00,0.50
11267.00,6.00,81.50,19.00,8700.00,0.91
2827.00,19.00,163.20,35.00,2200.00,0.61
9411.00,8.00,89.30,25.00,7300.00,0.63
1952.00,21.00,165.30,36.00,1500.00,0.81
6659.00,11.00,128.30,19.00,5200.00,0.48
10556.00,7.00,79.90,19.00,8200.00,0.46
2079.00,23.00,167.70,32.00,1600.00,0.55
6950.00,11.00,122.90,22.00,5400.00,0.56
10336.00,7.00,95.80,26.00,8000.00,0.58
14508.00,4.00,43.80,29.00,11200.00,0.90
2346.00,20.00,156.00,35.00,1800.00,0.57
2261.00,24.00,166.30,24.00,1800.00,0.60
12734.00,5.00,62.90,26.00,11400.00,0.77
7641.00,11.00,116.60,35.00,5900.00,0.46
7061.00,11.00,121.70,33.00,5500.00,0.54
3123.00,15.00,162.90,18.00,2000.00,0.51
2218.00,20.00,158.90,19.00,1700.00,0.57
4060.00,16.00,152.60,40.00,3100.00,0.47
1712.00,23.00,173.20,28.00,1100.00,0.52
18545.00,1.00,12.40,34.00,14400.00,0.71
7167.00,10.00,121.00,24.00,5600.00,0.94
11397.00,6.00,78.90,39.00,8800.00,0.68
1969.00,24.00,169.60,31.00,1500.00,0.70
18301.00,1.00,12.50,40.00,16400.00,0.52
1649.00,24.00,185.10,23.00,1300.00,0.62
8902.00,8.00,106.40,38.00,6900.00,0.64
6056.00,13.00,140.30,23.00,4700.00,0.55
2907.00,18.00,170.00,30.00,1800.00,0.83
2083.00,20.00,170.50,20.00,1300.00,0.73
7743.00,10.00,119.40,26.00,6000.00,0.65
15403.00,3.00,40.00,40.00,11900.00,0.49
5653.00,13.00,147.40,30.00,4400.00,0.65
9130.00,8.00,104.30,18.00,7100.00,0.62
15581.00,3.00,32.80,34.00,12100.00,0.84
4509.00,14.00,144.10,24.00,3500.00,0.58
2267.00,23.00,168.10,35.00,1800.00,0.94
6399.00,11.00,129.00,20.00,4000.00,0.65
16910.00,1.00,27.00,24.00,13100.00,0.91
9065.00,9.00,104.30,21.00,7000.00,0.82
6065.00,12.00,140.50,28.00,3800.00,0.56
2383.00,22.00,161.80,33.00,1800.00,0.73
2668.00,19.00,160.40,38.00,2100.00,0.84
2045.00,25.00,177.80,28.00,1600.00,0.46
13392.00,4.00,53.30,38.00,10400.00,0.61
1962.00,25.00,178.30,24.00,1500.00,0.49
3124.00,18.00,169.90,22.00,2000.00,0.81
2402.00,21.00,164.10,22.00,1900.00,0.46
7190.00,10.00,117.10,17.00,5600.00,0.90
3995.00,16.00,152.10,23.00,3100.00,0.72
1887.00,24.00,180.30,21.00,1500.00,0.49
3926.00,16.00,146.80,33.00,3000.00,0.89
1969.00,25.00,175.50,31.00,1500.00,0.52
4138.00,16.00,150.90,37.00,3200.00,0.93
2337.00,22.00,162.80,37.00,1800.00,0.66
5296.00,12.00,142.80,33.00,2400.00,0.51
2713.00,18.00,167.50,17.00,2100.00,0.77
8018.00,10.00,113.60,28.00,6200.00,0.69
2133.00,23.00,169.00,22.00,1700.00,0.77
5590.00,13.00,143.60,23.00,4300.00,0.70
4710.00,14.00,141.20,29.00,3600.00,0.56
3531.00,17.00,156.70,18.00,2700.00,0.94
3661.00,15.00,160.30,30.00,2800.00,0.77
6966.00,11.00,122.40,19.00,5400.00,0.66
9383.00,8.00,90.60,18.00,7300.00,0.61
12325.00,5.00,58.80,26.00,9500.00,0.67
6426.00,12.00,131.90,31.00,5000.00,0.85
1943.00,25.00,185.80,40.00,1500.00,0.79
3250.00,16.00,163.40,29.00,2500.00,0.67
1922.00,21.00,168.00,40.00,1200.00,0.74
5166.00,13.00,150.30,26.00,4000.00,0.62
3389.00,18.00,155.10,37.00,2600.00,0.70
6011.00,13.00,133.40,38.00,4700.00,0.66
3320.00,18.00,159.10,34.00,2600.00,0.90
5253.00,13.00,144.80,20.00,4100.00,0.80
2148.00,21.00,174.40,21.00,1700.00,0.79
6224.00,11.00,130.00,39.00,4800.00,0.75
3420.00,17.00,150.50,30.00,2200.00,0.48
4122.00,15.00,146.60,31.00,3200.00,0.49
2271.00,20.00,164.40,33.00,1800.00,0.80
8036.00,9.00,111.20,32.00,6200.00,0.72
14999.00,3.00,35.20,28.00,11600.00,0.51
11288.00,6.00,82.50,28.00,8700.00,0.63
10338.00,8.00,90.10,33.00,8000.00,0.79
1692.00,23.00,175.80,33.00,1100.00,0.75
13935.00,4.00,40.30,21.00,10800.00,0.77
2186.00,24.00,170.50,22.00,1700.00,0.69
10909.00,6.00,84.30,29.00,8500.00,0.80
9265.00,8.00,101.40,22.00,7200.00,0.48
2059.00,24.00,180.00,25.00,1600.00,0.80
3871.00,16.00,147.00,32.00,3000.00,0.74
11811.00,6.00,79.80,38.00,9100.00,0.87
4151.00,14.00,146.50,35.00,3200.00,0.53
2123.00,22.00,176.70,35.00,1600.00,0.85
8514.00,9.00,108.60,24.00,6600.00,0.80
2392.00,19.00,172.90,23.00,1500.00,0.85
5747.00,13.00,136.40,21.00,4500.00,0.90
8128.00,10.00,110.60,27.00,6300.00,0.53
2098.00,22.00,177.90,27.00,1600.00,0.65
13666.00,4.00,51.60,18.00,10600.00,0.68
17586.00,2.00,21.20,18.00,13600.00,0.63
2063.00,23.00,171.60,25.00,1600.00,0.47
3651.00,16.00,146.70,26.00,2800.00,0.76
6886.00,11.00,118.40,34.00,5300.00,0.76
2031.00,25.00,174.70,32.00,1300.00,0.83
12589.00,5.00,67.40,33.00,9800.00,0.53
3931.00,14.00,141.70,37.00,2500.00,0.63
9153.00,8.00,99.20,25.00,7100.00,0.74
3817.00,15.00,163.40,25.00,3000.00,0.67
10226.00,8.00,91.90,31.00,7900.00,0.53
3916.00,14.00,154.80,31.00,2500.00,0.91
5481.00,13.00,146.40,31.00,3500.00,0.84
2136.00,24.00,172.50,31.00,1700.00,0.45
2045.00,24.00,174.10,31.00,1600.00,0.46
11463.00,6.00,68.40,37.00,8900.00,0.80
11750.00,6.00,72.20,31.00,9100.00,0.89
5553.00,13.00,136.80,30.00,4300.00,0.84
5172.00,13.00,144.50,21.00,4000.00,0.77
9524.00,8.00,105.90,21.00,7400.00,0.66
15470.00,3.00,40.00,19.00,12000.00,0.55
10441.00,7.00,91.80,30.00,8100.00,0.88
2176.00,23.00,160.20,21.00,1400.00,0.89
3423.00,17.00,163.60,37.00,2200.00,0.53
2386.00,19.00,166.60,20.00,1800.00,0.79
4551.00,14.00,149.00,21.00,3500.00,0.49
13492.00,4.00,47.80,25.00,10500.00,0.53
1984.00,22.00,172.10,26.00,1500.00,0.87
2132.00,25.00,172.60,20.00,1700.00,0.46
2601.00,19.00,170.50,22.00,1600.00,0.93
2340.00,21.00,163.20,31.00,1800.00,0.48
9632.00,8.00,105.60,30.00,8600.00,0.82
2009.00,24.00,174.80,18.00,1600.00,0.47
8790.00,9.00,101.80,32.00,6800.00,0.92
4342.00,14.00,149.40,40.00,3400.00,0.65
9555.00,8.00,101.20,20.00,7400.00,0.85
8510.00,9.00,107.30,25.00,6600.00,0.77
1985.00,22.00,172.40,30.00,1500.00,0.80
1968.00,25.00,180.80,31.00,1500.00,0.89
3018.00,18.00,165.60,19.00,2300.00,0.82
9561.00,8.00,98.10,29.00,7400.00,0.49
5909.00,12.00,142.50,37.00,4600.00,0.81
3701.00,15.00,156.70,31.00,2300.00,0.80
1922.00,21.00,167.30,23.00,1500.00,0.56
2343.00,21.00,160.30,35.00,1800.00,0.75
11378.00,6.00,78.70,32.00,8800.00,0.67
3193.00,17.00,166.60,36.00,2500.00,0.71
7973.00,9.00,114.00,30.00,6200.00,0.84
5441.00,13.00,138.80,22.00,4200.00,0.87
13637.00,5.00,55.10,29.00,10600.00,0.90
10259.00,7.00,87.60,26.00,7900.00,0.76
9429.00,8.00,100.60,34.00,7300.00,0.72
3193.00,18.00,159.30,38.00,2000.00,0.87
4448.00,14.00,141.60,25.00,3400.00,0.89
1906.00,23.00,168.10,26.00,1500.00,0.80
2909.00,19.00,156.40,33.00,1800.00,0.81
7636.00,9.00,117.90,21.00,5900.00,0.89
12149.00,6.00,71.10,39.00,9400.00,0.76
7521.00,10.00,125.00,32.00,5800.00,0.89
6317.00,12.00,138.20,40.00,4900.00,0.48
11505.00,6.00,72.00,37.00,8900.00,0.59
7323.00,10.00,122.00,20.00,5700.00,0.63
9773.00,8.00,96.20,35.00,7600.00,0.94
1908.00,20.00,171.80,29.00,1500.00,0.68
11817.00,6.00,67.80,29.00,9200.00,0.80
12733.00,5.00,64.10,35.00,9900.00,0.84
5613.00,12.00,142.40,35.00,2500.00,0.80
13647.00,4.00,44.70,27.00,10600.00,0.64
16786.00,2.00,16.60,31.00,13000.00,0.46
4183.00,14.00,141.60,31.00,2600.00,0.72
3186.00,17.00,161.30,36.00,1400.00,0.81
5702.00,13.00,134.60,38.00,4400.00,0.69
3776.00,18.00,154.00,27.00,2900.00,0.60
1910.00,20.00,173.30,21.00,1200.00,0.92
10734.00,7.00,87.50,22.00,8300.00,0.60
16631.00,3.00,26.40,27.00,12900.00,0.84
3566.00,16.00,153.90,31.00,2800.00,0.55
2345.00,20.00,167.70,23.00,1800.00,0.83
