areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByPublishDate,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTests
K02000001,United Kingdom,overview,2021-11-19,46129532,,,,
K02000001,United Kingdom,overview,2021-11-18,46108608,,32226,91,993405
K02000001,United Kingdom,overview,2021-11-17,46087958,,39694,91,1043488
K02000001,United Kingdom,overview,2021-11-16,46065838,881,43533,134,807598
K02000001,United Kingdom,overview,2021-11-15,46045964,828,49387,150,916832
K02000001,United Kingdom,overview,2021-11-14,46027909,800,34667,116,918544
K02000001,United Kingdom,overview,2021-11-13,46010861,774,32219,129,667791
K02000001,United Kingdom,overview,2021-11-12,45986536,877,36932,137,830535
K02000001,United Kingdom,overview,2021-11-11,45964488,949,40204,143,980626
K02000001,United Kingdom,overview,2021-11-10,45942003,978,42039,145,1024023
K02000001,United Kingdom,overview,2021-11-09,45894237,980,41397,141,851560
K02000001,United Kingdom,overview,2021-11-08,45873038,1006,43270,147,920068
K02000001,United Kingdom,overview,2021-11-07,45852677,878,29967,169,869016
K02000001,United Kingdom,overview,2021-11-06,45838067,822,26900,163,649990
K02000001,United Kingdom,overview,2021-11-05,45813567,848,29712,151,831151
K02000001,United Kingdom,overview,2021-11-04,45790934,872,32331,154,914955
K02000001,United Kingdom,overview,2021-11-03,45770452,978,35014,162,1020990
K02000001,United Kingdom,overview,2021-11-02,45752487,1073,37102,155,868999
K02000001,United Kingdom,overview,2021-11-01,45731565,1088,44164,174,905663
K02000001,United Kingdom,overview,2021-10-31,45712351,1010,34056,182,950858
K02000001,United Kingdom,overview,2021-10-30,45698902,900,32964,166,678413
K02000001,United Kingdom,overview,2021-10-29,45673501,1025,39510,170,847823
K02000001,United Kingdom,overview,2021-10-28,45651222,1073,40619,190,875931
K02000001,United Kingdom,overview,2021-10-27,45627499,1147,42254,159,916286
K02000001,United Kingdom,overview,2021-10-26,45605922,1109,41406,161,802547
K02000001,United Kingdom,overview,2021-10-25,45582891,1058,46633,130,820481
K02000001,United Kingdom,overview,2021-10-24,45561445,968,35144,152,785553
K02000001,United Kingdom,overview,2021-10-23,45543363,908,34539,163,706080
