property_type,price
House,250
Apartment,65
Apartment,65
House,75
House,79
Condominium,75
Apartment,100
House,75
Condominium,58
Apartment,229
House,60
House,57
Condominium,93
Apartment,150
House,145
Apartment,60
House,165
Condominium,75
House,49
House,49
Villa,40
House,120
Apartment,70
House,150
House,175
House,95
Apartment,90
House,95
Apartment,100
House,67
Condominium,55
Apartment,200
Apartment,150
House,49
House,75
House,110
Apartment,115
House,125
House,200
House,75
House,78
Apartment,50
Apartment,60
House,45
House,145
House,45
House,85
House,75
House,50
House,45
House,60
Apartment,95
Apartment,89
Apartment,110
Condominium,65
House,285
Apartment,140
Apartment,70
House,95
Bed & Breakfast,55
Apartment,80
House,120
Apartment,65
Apartment,100
Apartment,65
House,60
Apartment,63
Townhouse,75
House,65
Apartment,110
House,46
Apartment,75
Apartment,62
Condominium,69
Apartment,69
House,73
Apartment,85
Apartment,120
House,125
Apartment,70
Condominium,100
Condominium,61
House,125
Apartment,100
Apartment,27
Apartment,80
House,85
House,75
House,57
Apartment,100
Apartment,40
House,100
House,70
Apartment,190
Apartment,149
Apartment,168
House,205
House,65
Apartment,75
Condominium,117
Apartment,429
Apartment,95
Apartment,69
House,85
Apartment,69
House,165
Apartment,150
Condominium,267
Apartment,87
Townhouse,62
Apartment,110
Apartment,250
Apartment,150
House,300
Apartment,119
Apartment,175
House,195
Condominium,145
Apartment,200
House,90
Apartment,210
Apartment,75
Apartment,46
Condominium,75
Apartment,500
Apartment,60
Apartment,130
Apartment,190
Apartment,100
House,450
Apartment,399
Apartment,350
Apartment,200
Apartment,99
House,295
Apartment,107
Apartment,69
Apartment,76
Apartment,75
House,55
Apartment,65
Condominium,59
House,88
House,164
House,90
Apartment,185
Apartment,80
House,105
House,90
Apartment,100
Apartment,100
Apartment,200
Apartment,300
House,60
Apartment,319
Apartment,85
Condominium,70
Apartment,50
Apartment,119
Condominium,125
Apartment,53
Apartment,125
House,199
Apartment,205
Condominium,114
Apartment,75
Apartment,185
Apartment,75
Apartment,180
Apartment,70
Bed & Breakfast,150
Apartment,120
Apartment,92
Apartment,84
Apartment,200
Apartment,115
Apartment,49
Townhouse,95
House,275
Apartment,230
Apartment,130
Apartment,192
Apartment,175
Apartment,70
Townhouse,65
Apartment,100
Apartment,185
House,250
Apartment,110
House,150
Apartment,168
Apartment,60
Apartment,59
House,60
Apartment,145
Apartment,80
Apartment,114
House,170
Apartment,240
Apartment,150
Apartment,69
Apartment,80
Apartment,85
Apartment,75
Apartment,150
House,70
House,80
Apartment,225
Apartment,225
House,178
Apartment,175
Apartment,109
Condominium,383
Condominium,90
Apartment,99
Apartment,50
Apartment,300
House,184
Apartment,80
House,85
Apartment,150
Apartment,100
Apartment,100
Townhouse,84
Apartment,130
Apartment,76
Apartment,100
House,70
Condominium,125
Apartment,70
Bed & Breakfast,75
House,170
House,95
Bed & Breakfast,70
Apartment,299
House,70
Entire Floor,155
Apartment,250
Apartment,115
House,70
House,135
Condominium,120
Loft,130
Apartment,29
Apartment,68
Apartment,300
House,50
Condominium,119
Apartment,46
Condominium,295
Apartment,130
Condominium,180
Apartment,300
Apartment,200
Apartment,136
Apartment,100
House,88
House,95
House,135
House,135
Bed & Breakfast,75
House,189
House,75
Apartment,55
Apartment,125
Condominium,88
Apartment,72
Apartment,22
House,90
Apartment,150
Apartment,82
House,84
Apartment,160
Apartment,110
Apartment,150
Condominium,80
Apartment,225
Apartment,65
House,275
House,300
House,185
Apartment,175
Apartment,175
Apartment,75
Apartment,60
Apartment,100
Townhouse,75
Townhouse,94
Townhouse,85
Apartment,83
Apartment,75
Apartment,168
Apartment,60
Apartment,135
Bed & Breakfast,119
Condominium,275
House,130
House,750
Apartment,160
Condominium,65
House,77
House,71
Townhouse,200
Apartment,55
Apartment,95
Apartment,220
House,54
Apartment,72
Apartment,70
House,135
House,300
Apartment,110
House,70
House,75
Apartment,70
Condominium,88
House,480
House,550
Apartment,180
House,325
Apartment,65
Apartment,290
House,159
House,200
House,95
Condominium,65
Apartment,99
House,93
House,500
Apartment,295
House,450
House,150
Apartment,95
Condominium,150
Apartment,399
House,71
Apartment,500
Bed & Breakfast,70
Apartment,125
Bed & Breakfast,85
Apartment,61
House,250
House,56
Apartment,200
Apartment,220
Bed & Breakfast,80
Bed & Breakfast,60
House,125
House,500
Apartment,149
Apartment,65
Apartment,99
Apartment,67
House,180
Apartment,170
House,115
House,235
House,89
House,110
Apartment,84
Apartment,125
Apartment,130
Apartment,65
Townhouse,86
Apartment,75
Apartment,255
House,145
House,199
Apartment,91
House,81
Apartment,60
House,99
Condominium,88
House,225
Apartment,50
Condominium,225
Townhouse,48
Apartment,37
House,85
Apartment,525
Apartment,100
House,75
Apartment,25
Apartment,50
House,49
House,125
Condominium,180
Apartment,60
Apartment,85
Apartment,85
House,64
Apartment,725
Condominium,75
Apartment,119
Apartment,110
House,179
Apartment,175
Apartment,125
Loft,220
Apartment,299
Apartment,249
Apartment,115
Apartment,239
Apartment,75
Loft,30
Apartment,45
Condominium,160
Apartment,62
Apartment,872
Apartment,55
Apartment,79
Apartment,60
Apartment,79
House,75
Apartment,75
House,30
Apartment,105
Apartment,27
House,85
House,110
Apartment,199
Apartment,45
Apartment,269
Apartment,69
Apartment,75
House,45
House,70
House,70
Apartment,169
Apartment,99
Apartment,90
Condominium,80
Apartment,275
Apartment,71
Apartment,125
Apartment,140
Apartment,52
Apartment,70
Apartment,208
Apartment,399
Apartment,100
Apartment,59
Apartment,169
Apartment,169
Apartment,75
Condominium,100
Apartment,115
Apartment,65
Apartment,349
Apartment,75
House,35
Apartment,100
Apartment,199
Apartment,75
Apartment,160
Apartment,349
Apartment,65
Apartment,41
Apartment,80
Apartment,49
Apartment,35
Townhouse,72
Apartment,90
Apartment,100
Condominium,90
Apartment,89
Apartment,65
Apartment,170
Apartment,169
Apartment,150
House,50
Apartment,20
Apartment,56
Loft,140
Apartment,88
House,50
House,74
Apartment,42
Apartment,199
Apartment,40
Apartment,169
Apartment,319
Condominium,80
House,50
Apartment,103
House,100
Loft,160
Apartment,42
Apartment,169
House,89
Apartment,199
Apartment,150
Loft,200
Apartment,99
Apartment,99
Apartment,272
House,85
House,70
Apartment,100
Apartment,109
Apartment,80
House,79
Apartment,28
Apartment,55
Apartment,110
Apartment,40
Loft,90
Apartment,80
House,74
Apartment,100
Apartment,130
Apartment,215
Apartment,349
Apartment,246
Apartment,150
Apartment,45
Apartment,100
Apartment,130
Apartment,60
Apartment,175
Apartment,246
Condominium,84
Apartment,149
Apartment,75
Apartment,84
Condominium,100
Apartment,165
Guesthouse,289
Condominium,170
Apartment,247
House,500
Condominium,139
Apartment,165
Townhouse,500
Apartment,350
House,500
Apartment,188
Apartment,400
Apartment,180
Apartment,375
Bed & Breakfast,99
Apartment,170
Apartment,125
Apartment,129
Apartment,90
House,299
Apartment,225
House,500
House,500
Bed & Breakfast,99
Apartment,245
Condominium,390
Apartment,159
Condominium,295
Condominium,179
Apartment,399
Apartment,219
Apartment,289
Apartment,219
Apartment,295
Loft,259
Apartment,185
Loft,269
Apartment,109
Apartment,295
Apartment,389
Apartment,215
Apartment,375
Apartment,270
Apartment,285
Apartment,296
Apartment,80
Apartment,219
Loft,120
Apartment,209
Apartment,399
Apartment,159
Apartment,125
Apartment,80
Apartment,299
Apartment,100
Apartment,229
Condominium,383
Apartment,149
Apartment,250
Apartment,349
Apartment,199
Apartment,169
Apartment,300
Apartment,169
Apartment,349
Apartment,319
Apartment,100
Apartment,179
Apartment,289
Apartment,209
Apartment,199
Apartment,319
Apartment,135
Apartment,169
Apartment,95
Apartment,319
Apartment,169
Apartment,287
Apartment,219
Apartment,219
Apartment,199
Apartment,95
Apartment,219
Apartment,242
Apartment,389
Apartment,169
Apartment,199
Apartment,361
Apartment,225
Apartment,255
Apartment,119
Apartment,219
Loft,299
Apartment,119
Apartment,199
Apartment,319
Apartment,93
Apartment,199
Apartment,299
Apartment,349
Condominium,275
Apartment,299
Boat,375
Apartment,140
Apartment,35
Apartment,159
Apartment,84
Apartment,100
Apartment,125
Condominium,150
Apartment,79
Apartment,320
Apartment,180
Apartment,150
Apartment,125
Apartment,145
Apartment,125
House,171
Apartment,285
Apartment,400
Apartment,400
Apartment,210
Apartment,350
Apartment,182
Apartment,200
Apartment,260
Apartment,200
Apartment,150
Apartment,120
Apartment,102
Apartment,210
Apartment,159
House,120
Boat,425
Apartment,150
Apartment,149
Apartment,115
Apartment,150
Apartment,399
Apartment,220
House,110
Apartment,125
Apartment,310
